,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year,sa_begin_year_total_assets,sa_roa,f_roa,sa_cfo,f_cfo,sa_prev_roa,f_del_roa,f_acc,f_del_lev,sa_avg_tot_assets,sa_leverage,sa_prev_leverage,sa_prev_current_ratio,f_del_liq,sa_prev_issued_equity_shares,f_eq_offer,sa_margin,sa_prev_margin,f_del_margin,sa_turnover,sa_prev_turnover,f_del_turn,f_score
1453,29826,BAMBINO AGRO INDS. LTD.,20020331,12,IGAAP,720.4,705.4,14.9,14.9,,705.5,-21.8,102.3,-21.8,41.6,-36.7,-5.2020,747.9,,0.0,53.9,6252067.0,,62.5,,,,62.5207,124.1,517.2,747.9,,,734.45,0.4671,1.4032,4.1676,64.2,49.5,,2001,779.0,0.9056482670089859,1,0.08241335044929397,1,0.4847610686065471,1,0,0,763.4499999999963,0.0,0.0,1.2519,1,62.5207,0,1.000141763538418,1.0005177323323842,0,0.9055198973042362,0.4845102219992475,1,5
1457,29859,BANARAS BEADS LTD.,20020331,12,IGAAP,70.0,68.3,0.4,0.4,,69.6,-42.0,-21.0,-42.0,-29.4,-42.4,-60.9195,353.7,,0.0,16.3,9752724.0,,97.5,,,,97.5272,250.3,74.5,353.7,,,364.2,0.5514,2.3319,0.2976,-18.3,-4.2,,2001,389.9,0.17850730956655553,1,-0.046935111567068484,0,0.1672100605496041,1,0,0,371.79999999999626,0.0,0.0,2.5231,0,97.5272,0,1.0190336749633968,1.0084269662921348,1,0.1751731213131572,0.1658127619934793,1,4
1462,29909,BANCO PRODUCTS (INDIA) LTD.,20020331,12,IGAAP,940.0,928.0,0.2,,0.2,939.8,73.8,136.6,104.8,99.5,73.6,7.8315,770.0,,0.0,113.5,6760896.0,,67.6,,,,67.609,505.4,64.5,770.0,,,734.9,1.4699,2.173,0.1276,166.0,200.3,,2001,767.9,1.2238572730824326,1,0.2161739809871077,1,1.3645383951682486,0,0,0,768.9499999999964,0.0,0.0,2.1307,1,67.609,0,1.0127155172413793,1.0059366055337644,1,1.2084906888917828,1.3564854759850447,0,4
1488,30230,BANNARI AMMAN SUGARS LTD.,20020331,12,IGAAP,3965.7,3949.4,1.3,,1.3,3964.4,212.0,668.5,307.5,485.7,210.7,5.3148,4765.3,,0.0,713.5,9539700.0,,95.4,,,,95.397,1325.0,2239.8,4765.3,,,4458.95,0.293,1.0436,1.6904,777.3,801.6,,2001,4152.6,0.95467899629148,1,0.18718393295766506,1,0.7987026209384182,1,0,0,4458.949999999997,0.0,0.0,1.1159,0,95.397,0,1.0037980452726996,1.006783514227046,0,0.951066801521938,0.7933211158623498,1,4
1491,30425,BANSISONS TEA INDS. LTD.,20020331,12,IGAAP,23.2,23.0,,,,23.2,-4.2,0.0,-4.2,-2.7,-4.2,-18.1034,90.3,,0.0,6.9,6330000.0,,63.3,,,,63.3,70.1,12.3,90.3,,,92.45,1.0843,1.6386,0.1755,0.0,0.0,,2001,97.2,0.23868312757201646,1,0.0,0,0.3099476439790576,0,0,0,93.74999999999673,0.0,0.0,1.839,0,63.3,0,1.008695652173913,1.0033898305084745,1,0.2366255144032922,0.3089005235602094,0,2
1494,30442,BANSWARA SYNTEX LTD.,20020331,12,IGAAP,2053.7,2039.8,0.4,0.1,0.3,2053.3,28.2,247.1,31.7,169.0,31.7,1.5439,1589.4,,0.0,180.9,6879501.0,,68.8,,,,68.795,317.2,968.9,1589.4,,,1526.1,0.4885,1.2157,3.0545,212.5,216.0,,2001,1472.2,1.3947153919304442,1,0.14434180138568128,1,1.6537425516284385,0,0,0,1530.7999999999968,0.0,0.0,1.1988,1,68.795,0,1.0066182959113639,1.0052096254031258,1,1.385545442195354,1.6451718227083505,0,4
1497,30443,BANSWARA TEXTILE MILLS LTD. [MERGED],20020331,12,IGAAP,129.6,129.3,0.3,0.3,,129.3,6.1,13.6,10.0,9.9,5.8,4.4857,55.5,,0.0,31.3,840000.0,,8.4,,,,8.4,0.5,14.3,55.5,,,46.25,0.2688,0.474,28.6,17.8,17.9,4.2,2001,37.1,3.4851752021563343,1,0.4797843665768194,1,4.08955223880597,0,0,0,46.29999999999675,0.0,0.0,0.3464,1,4.2,0,1.0,1.0,0,3.4851752021563343,4.08955223880597,0,3
1506,30759,BARODA RAYON CORPN. LTD.,20020331,12,IGAAP,930.4,921.9,,,,930.4,-564.1,-250.0,-564.1,-316.9,-532.7,-57.2549,2012.5,,0.0,1126.7,47607525.0,,476.1,,,,476.0752,-1304.0,2086.2,2012.5,,,2076.0,0.0568,0.126,,-1.6,29.7,,2001,2148.8,0.4329858525688756,1,-0.0007446016381236039,0,0.3265799256505576,1,0,0,2080.649999999997,0.0,0.0,0.1868,0,476.0752,0,1.0092200889467404,1.071341463414634,0,0.42903015636634395,0.3048327137546468,1,3
1510,30882,BASANT AGRO TECH (INDIA) LTD.,20020331,12,IGAAP,371.0,369.7,,,,371.0,9.9,39.5,11.4,31.7,10.0,2.6954,385.9,,0.0,58.3,3185100.0,,31.9,,,,31.851,94.1,226.8,385.9,,,379.75,0.7369,1.7417,2.4102,16.0,17.3,,2001,374.9,0.9895972259269139,1,0.042678047479327824,1,1.3104564584007772,0,0,0,380.39999999999674,0.0,0.0,1.6934,1,31.851,0,1.003516364619962,1.0029732408325074,1,0.9861296345692185,1.3065717060537392,0,4
1514,31130,BATA INDIA LTD.,20021231,12,IGAAP,7054.0,6965.4,50.2,15.4,34.8,7003.8,-74.1,153.5,-105.9,-81.8,-124.3,-1.7748,5570.9,,0.0,1548.6,51428000.0,,514.3,,,,514.28,1916.7,618.6,5570.9,,,4254.95,0.5216,1.5497,0.3227,41.5,26.1,,2001,5349.6,1.3092193808882906,1,0.007757589352474951,1,1.3612841399137519,0,0,0,5460.249999999997,0.0,0.0,1.5781,0,514.28,0,1.0055129640795935,1.0093159120514743,0,1.3020412741139522,1.348719586860459,0,2
