,sa_company_name,f_score
252,HINDUSTAN ORGANIC CHEMICALS LTD.,6
253,CATERPILLAR POWER INDIA PVT. LTD.,5
254,HINDUSTHAN NATIONAL GLASS & INDS. LTD.,5
255,HINDUSTHAN UDYOG LTD.,5
256,HINDUSTHAN URBAN INFRASTRUCTURE LTD.,5
257,HITECHI JEWELLERY INDS. LTD.,5
258,S R M ENERGY LTD.,5
259,HOGANAS INDIA PVT. LTD.,6
260,HOTLINE TELETUBE & COMPONENTS LTD.,5
261,HOWARD HOTELS LTD.,6
262,TATA TELESERVICES (MAHARASHTRA) LTD.,5
263,I C E S SOFTWARE LTD.,5
264,AKZO NOBEL INDIA LTD.,6
265,I F B AGRO INDS. LTD.,5
266,I S T LTD.,5
267,I T C HOTELS LTD. [MERGED],6
268,I T W INDIA PVT. LTD.,6
269,IDEASPACE SOLUTIONS PVT. LTD.,5
270,INDIA GLYCOLS LTD.,5
271,INDIA STEAMSHIP CO. LTD. [MERGED],5
272,INDIAN ALUMINIUM CO. LTD. [MERGED],5
273,INDIAN CARD CLOTHING CO. LTD.,5
274,INDIAN CHARGE CHROME LTD. [MERGED],6
275,INDIAN HUME PIPE CO. LTD.,5
276,INDIAN METALS & FERRO ALLOYS LTD.,6
277,INDIAN PETROCHEMICALS CORPN. LTD. [MERGED],6
278,INDIAN POLYFINS LTD.,5
279,ADITYA BIRLA NUVO LTD. [MERGED],5
280,INDIAN TONERS & DEVELOPERS LTD.,6
281,INDO BORAX & CHEMICALS LTD.,5
282,INDO COUNT INDS. LTD.,5
283,INDO GULF CORPN. LTD. [MERGED],5
284,PANASONIC APPLIANCES INDIA CO. LTD.,6
285,I A G GLASS CO. LTD.,5
286,INDRAPRASTHA MEDICAL CORPN. LTD.,6
287,ENTEGRA LTD.,5
288,INFRA INDUSTRIES LTD.,5
289,INLAND PRINTERS LTD.,5
290,INTEGRA CAPITAL MGMT. LTD.,5
291,INTEGRATED PROTEINS LTD.,6
292,INTERNATIONAL TRAVEL HOUSE LTD.,6
293,INVESTMENT & PRECISION CASTINGS LTD.,5
294,SOURCE NATURAL FOODS & HERBAL SUPPLEMENTS LTD.,5
295,IRCON INTERNATIONAL LTD.,5
296,J M G CORPORATION LTD.,5
297,ISHITA DRUGS & INDS. LTD.,6
298,INDIA STEEL WORKS LTD.,5
299,J S W ISPAT STEEL LTD. [MERGED],6
300,VIVANZA BIOSCIENCES LTD.,5
301,J B CHEMICALS & PHARMACEUTICALS LTD.,6
302,J B F INDUSTRIES LTD.,6
303,J K TYRE & INDS. LTD.,6
304,J K PAPER LTD.,5
305,JAYKAY ENTERPRISES LTD.,6
306,J L MORISON (INDIA) LTD.,5
307,JAGAN LAMPS LTD.,5
308,JAI MATA INDS. LTD.,6
309,JAIN IRRIGATION SYSTEMS LTD.,5
310,SCOPE INDUSTRIES (INDIA) LTD.,5
311,JAIPAN INDUSTRIES LTD.,5
312,JALPAC INDIA LTD.,5
313,JANICE TEXTILES LTD. [MERGED],5
314,JASCH INDUSTRIES LTD.,5
315,JAY BHARAT MARUTI LTD.,5
316,JAYAVANT PRODUCTS LTD.,5
317,JAYPEE HOTELS LTD. [MERGED],6
318,JAYSHREE CHEMICALS LTD.,5
319,JEYPORE SUGAR CO. LTD.,5
320,J V L AGRO INDS. LTD.,6
321,CONSOLIDATED FINVEST & HOLDINGS LTD.,5
322,JUMBO BAG LTD.,5
323,JYOTI LTD. (GUJARAT),5
324,K A R MOBILES LTD. [MERGED],6
325,K C P LTD.,5
326,K C P SUGAR & INDS. CORPN. LTD.,6
327,K D L BIOTECH LTD.,6
328,K G DENIM LTD.,5
329,KABRA EXTRUSION TECHNIK LTD.,5
330,K C L INFRA PROJECTS LTD.,5
331,KKALPANA INDUSTRIES (INDIA) LTD.,5
332,KALYANI STEELS LTD.,5
333,DALMIA D S P LTD.,5
334,KANCO ENTERPRISES LTD.,5
335,KANEL INDUSTRIES LTD.,5
336,KANISHK STEEL INDS. LTD.,6
337,KANORIA CHEMICALS & INDS. LTD.,5
338,BAGALKOT UDYOG LTD.,5
339,KAPPAC PHARMA LTD.,5
340,KARNAVATI STEEL INDS. LTD.,5
341,GLOBUS CORPOORATION LTD.,5
342,GANGA PAPERS INDIA LTD.,5
343,KATARE SPINNING MILLS LTD.,5
344,KEI INDUSTRIES LTD.,6
345,KELTECH ENERGIES LTD.,5
346,KERALA AYURVEDA LTD.,5
347,NITTA GELATIN INDIA LTD.,5
348,KESAR ENTERPRISES LTD.,5
349,KESORAM INDUSTRIES LTD.,5
350,KHAITAN CHEMICALS & FERTILIZERS LTD.,6
351,KHATOR FIBRE & FABRICS LTD.,5
352,KINETIC MOTOR CO. LTD. [MERGED],6
353,KIRAN OVERSEAS (EXPORTS) LTD.,5
354,KIRAN PRINT-PACK LTD.,6
355,KIRAN SYNTEX LTD.,6
356,KIRLOSKAR BROTHERS LTD.,5
357,KITPLY INDUSTRIES LTD.,5
358,ABBOTT INDIA LTD.,5
359,KONGARAR INTEGRATED FIBRES LTD.,6
360,KONGARAR TEXTILES LTD.,5
361,KOTHARI FERMENTATION & BIOCHEM LTD.,5
362,KOTHARI SUGARS & CHEMICALS LTD.,5
363,KOVAI MEDICAL CENTER & HOSPITAL LTD.,5
364,KRYPTON INDUSTRIES LTD.,5
365,KUMAR WIRE CLOTH MFG. CO. LTD.,5
366,KUNSTSTOFFE INDUSTRIES LTD.,6
367,KUTCH SALT & ALLIED INDS. LTD.,5
368,KWALITY LTD.,5
369,L G BALAKRISHNAN & BROS. LTD.,6
370,LAFFANS PETROCHEMICALS LTD.,5
371,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,5
372,LAKSHMI MACHINE WORKS LTD.,5
373,LAKSHMI MILLS CO. LTD.,5
374,LAMBODHARA TEXTILES LTD.,6
375,LANDMARC LEISURE CORPN. LTD.,5
376,LARSEN & TOUBRO LTD.,5
377,ESHA MEDIA RESEARCH LTD.,5
378,L S INDS. LTD.,6
379,LINC PEN & PLASTICS LTD.,5
380,LINK PHARMA CHEM LTD.,5
381,BAID GLOBAL VENTURES LTD.,5
382,LEEL ELECTRICALS LTD.,5
383,LOYAL TEXTILE MILLS LTD.,5
384,LUPIN LTD.,6
385,M S D INDUSTRIAL ENTERPRISES LTD.,5
386,MACKINNON MACKENZIE & CO. LTD.,6
387,MADHUR INDUSTRIES LTD.,6
388,ANIK INDUSTRIES LTD.,5
389,RAMCO CEMENTS LTD.,6
390,MADRAS FERTILIZERS LTD.,6
391,MAGNA ELECTRO CASTINGS LTD.,6
392,MAHALAXMI RUBTECH LTD.,6
393,MAHALAXMI SEAMLESS LTD.,5
394,MAHANAGAR TELEPHONE NIGAM LTD.,6
395,MAHARASHTRA POLYBUTENES LTD.,5
396,MAJESTIC AUTO LTD.,5
397,MALWA COTTON SPG. MILLS LTD.,5
398,MANGALORE CHEMICALS & FERTILIZERS LTD.,6
399,M O I L LTD.,5
400,MAPRO INDUSTRIES LTD.,5
401,MARDIA EXTRUSIONS LTD. [MERGED],6
402,MARDIA SAMYOUNG CAPILLARY TUBES CO. LTD.,5
403,MARIS SPINNERS LTD.,5
404,ADVANCE POWERINFRA TECH LTD.,5
405,MARSON'S TEXTILES LTD.,5
406,CAPGEMINI TECHNOLOGY SERVICES INDIA LTD.,5
407,MYLAN LABORATORIES LTD.,5
408,PANASONIC A V C NETWORKS INDIA CO. LTD.,5
409,V I P CLOTHING LTD.,6
410,MAYUR UNIQUOTERS LTD.,5
411,MEDICAPS LTD.,5
412,NOESIS INDUSTRIES LTD.,6
413,MENON PISTONS LTD.,5
414,MERCATOR LTD.,5
415,ARCH PHARMALABS LTD.,5
416,METAL COATINGS (INDIA) LTD.,5
417,MEWAR POLYTEX LTD.,5
418,MICRO TECHNOLOGIES (INDIA) LTD.,5
419,MILESTONE ORGANIC LTD. [MERGED],5
420,MINDA CORPORATION LTD.,5
421,MINDA INDUSTRIES LTD.,6
422,MODIPON LTD.,6
423,MODISON METALS LTD.,6
424,MOH LTD.,5
425,MOHAN MEAKIN LTD.,5
426,MONNET ISPAT & ENERGY LTD.,5
427,MONOZYME INDIA LTD.,5
428,MONSANTO INDIA LTD. [MERGED],5
429,MORGAN INDUSTRIES LTD.,6
