sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_total_income,sa_sales,sa_prior_period_extra_ordi_inc,sa_prior_period_inc,sa_extra_ordi_inc,sa_tot_inc_net_of_pe,sa_pat,sa_pbdita,sa_pbt,sa_pbit_net_of_peoifi,sa_pat_net_of_pe,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_total_liabilities,sa_non_current_liabilities,sa_long_term_borrowings,sa_current_liabilities,sa_issued_equity_shares,sa_issued_pref_shares,sa_issued_equity_cap,sa_issued_pref_cap,sa_reduct_equity_cap_amt,sa_buyback_amt,sa_issued_equity_shares_in_lakhs,sa_shareholders_funds,sa_debt,sa_total_assets,sa_non_current_assets,sa_current_assets_incl_st_invest_loans,sa_avg_tot_asset_net_miscexp_now_reval,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cf_net_frm_op_activity,sa_cf_generated_frm_op,sa_cf_proceeds_share_issue,sa_year
199973,ROSSELL INDUSTRIES LTD.,20041231,12,IGAAP,427.8,412.7,13.0,13.0,,414.8,-113.7,-54.4,-113.7,-92.1,-126.6,-30.5207,951.4,,,118.9,10119055.0,,101.2,,,,101.1906,-470.3,643.7,951.4,,,488.35,0.0964,0.246,,,,,2003
199974,ROSSELL INDIA LTD.,20040331,12,IGAAP,424.2,371.3,46.5,46.4,0.1,377.7,-26.0,22.6,-26.0,-41.6,-72.5,-19.1951,706.0,,,45.5,4536517.0,400000.0,45.4,40.0,,,45.3652,285.5,412.3,706.0,,,695.9,0.0348,0.2848,1.6794,13.4,12.9,,2003
199974,ROSSELL INDIA LTD.,20050331,12,IGAAP,485.2,484.7,,,,485.2,-26.1,60.0,22.2,47.3,-25.8,-5.3174,666.9,,,46.6,4536517.0,400000.0,45.4,40.0,,,45.3652,259.6,398.8,666.9,,,686.4,0.0754,0.454,1.816,54.8,55.8,,2004
199974,ROSSELL INDIA LTD.,20060331,12,IGAAP,434.5,430.5,,,,434.5,-18.9,17.2,-24.9,0.5,-18.8,-4.3268,677.0,,,51.3,4536517.0,400000.0,45.4,40.0,,,45.3652,242.3,421.5,677.0,,,671.95,0.1033,0.4354,2.0835,20.8,22.0,,2005
200005,SWORD-EDGE COMMERCIALS LTD.,20040331,12,IGAAP,3.3,1.7,,,,3.3,0.2,0.8,0.3,-1.0,0.3,9.0909,18.1,,,1.2,960000.0,,9.6,,,,9.6,16.8,,18.1,,,18.4,2.0769,3.3846,0.0,0.8,0.8,,2003
200005,SWORD-EDGE COMMERCIALS LTD.,20050331,12,IGAAP,3.1,1.6,,,,3.1,0.4,1.0,0.7,-0.7,0.5,16.1290,18.6,,,1.1,960000.0,,9.6,,,,9.6,17.2,,18.6,,,18.35,1.1429,2.8571,0.0,-2.6,-2.6,,2004
200005,SWORD-EDGE COMMERCIALS LTD.,20060331,12,IGAAP,9.6,8.4,,,,9.6,0.5,1.1,0.8,-0.3,0.5,5.2083,25.3,,,5.6,960000.0,,9.6,,,,9.6,17.7,1.7,25.3,,,21.95,0.9153,2.0339,0.096,-3.0,-3.0,,2005
200048,ROTO PUMPS LTD.,20040331,12,IGAAP,159.1,153.1,4.9,2.6,2.3,154.2,2.7,21.4,2.8,3.4,-2.2,-1.4267,174.2,,,32.5,3100061.0,,31.0,,,,31.0006,90.4,35.8,174.2,,,164.1,0.7759,1.444,0.396,9.5,11.2,,2003
200048,ROTO PUMPS LTD.,20050331,12,IGAAP,199.3,191.8,0.4,0.1,0.3,198.9,8.5,34.4,14.6,18.4,8.1,4.0724,193.6,,,41.2,3100061.0,,31.0,,,,31.0006,95.4,42.2,193.6,,,180.7,0.7432,1.5905,0.4423,1.5,2.5,,2004
200048,ROTO PUMPS LTD.,20060331,12,IGAAP,245.0,244.2,0.5,0.5,,244.5,9.1,29.3,15.5,21.0,9.2,3.7628,198.8,,,39.9,3100061.0,,31.0,,,,31.0006,101.0,37.1,198.8,,,193.45,0.8815,1.7469,0.3673,22.3,27.6,,2005
200058,ROTO FLEX INDS. LTD.,20060331,12,IGAAP,0.9,,0.9,0.9,,0.0,-41.0,0.8,-41.0,-7.0,-41.9,ER,99.7,,,21.8,6785900.0,,67.9,,,,67.859,-241.3,319.2,99.7,,,,0.071,0.0738,,,,,2005
200060,ROTOGRAPHICS (INDIA) LTD.,20040331,12,IGAAP,22.1,21.0,,,,22.1,0.4,1.0,0.4,-0.7,0.4,1.8100,39.9,,,4.7,3893300.0,,38.9,,,,38.933,33.6,1.2,39.9,,,41.8,1.1277,1.2128,0.0357,-4.3,-5.1,,2003
200060,ROTOGRAPHICS (INDIA) LTD.,20050331,12,IGAAP,51.3,50.7,,,,51.3,0.4,1.3,0.7,0.1,0.4,0.7797,42.8,,,7.2,3893300.0,,38.9,,,,38.933,34.2,1.0,42.8,,,41.25,1.3784,1.3784,0.0292,1.4,0.5,,2004
200060,ROTOGRAPHICS (INDIA) LTD.,20060331,12,IGAAP,24.5,24.0,,,,24.5,0.1,0.6,0.2,-0.3,0.1,0.4082,60.7,,,25.1,3893300.0,,38.9,,,,38.933,34.3,1.0,60.7,,,51.75,0.5952,1.2579,0.0292,5.8,5.3,,2005
200170,ROXY EXPORTS LTD.,20050331,12,IGAAP,17.0,17.0,,,,17.0,0.0,1.3,0.0,0.0,0.0,0.0000,70.3,,,11.6,3600000.0,,36.0,,,,36.0,33.1,24.9,70.3,,,,0.7509,1.7082,0.7523,,,,2004
200170,ROXY EXPORTS LTD.,20060331,12,IGAAP,13.4,13.1,0.3,0.3,,13.1,0.2,1.3,0.2,0.0,-0.1,-0.7634,62.4,,,15.4,3600000.0,,36.0,,,,36.0,33.6,12.8,62.4,,,66.3,0.6364,2.4364,0.381,,,,2005
200256,ROYAL CUSHION VINYL PRODUCTS LTD.,20040331,12,IGAAP,710.0,708.6,0.3,0.3,,709.7,-371.2,17.8,-371.2,-60.7,-369.5,-52.0643,1551.1,,,279.8,12067212.0,,120.7,,,,120.6721,-1608.4,2245.1,1551.1,,,1571.1,0.1469,0.1884,,162.1,163.7,,2003
200256,ROYAL CUSHION VINYL PRODUCTS LTD.,20050331,12,IGAAP,894.0,876.8,12.7,12.7,,881.3,-393.0,23.5,-393.0,-70.4,-399.0,-45.2740,1552.1,,,333.9,12067212.0,,120.7,,,,120.6721,-1992.3,2017.0,1552.1,,,1543.25,0.142,0.1821,,201.9,223.2,25.8,2004
200256,ROYAL CUSHION VINYL PRODUCTS LTD.,20060331,12,IGAAP,987.2,725.1,257.9,1.7,256.2,729.3,-306.8,149.8,-305.7,-201.7,-560.8,-76.8957,1545.7,,,954.3,12067212.0,,120.7,,,,120.6721,-2251.9,2125.4,1545.7,,,1537.55,0.113,0.1733,,230.8,233.0,36.5,2005
200281,K G N INDUSTRIES LTD.,20040331,12,IGAAP,1.4,,,,,1.4,0.1,0.9,0.2,-1.2,0.1,7.1429,658.5,,,76.8,22250000.0,,222.5,,,,222.5,578.0,,658.5,,,649.4,0.4772,0.4863,0.0,,,,2003
200281,K G N INDUSTRIES LTD.,20050331,12,IGAAP,1.5,,,,,1.5,0.3,1.0,0.4,-1.1,0.3,20.0000,658.9,,,76.8,22250000.0,,222.5,,,,222.5,578.3,,658.9,,,655.25,0.4864,0.4955,0.0,0.1,0.1,,2004
200281,K G N INDUSTRIES LTD.,20060331,12,IGAAP,9.9,,,,,9.9,3.9,5.1,4.3,-5.1,3.9,39.3939,591.3,,,5.6,22250000.0,,222.5,,,,222.5,582.1,,591.3,,,622.0,6.0476,7.3333,0.0,0.7,0.8,,2005
200352,ROYAL ORCHID HOTELS LTD.,20040331,12,IGAAP,243.5,242.4,,,,243.5,19.0,78.3,28.0,82.0,44.6,18.3162,372.7,,,54.9,9123070.0,,91.2,,,,91.2307,93.3,215.5,372.7,,,344.15,0.9436,0.9869,2.3098,,,,2003
200352,ROYAL ORCHID HOTELS LTD.,20050331,12,IGAAP,436.2,397.3,35.3,35.3,,400.9,132.6,238.2,189.0,185.6,106.2,26.4904,524.1,,,62.1,9694970.0,,96.9,,,,96.9497,231.7,199.3,524.1,,,448.35,1.1111,1.182,0.8602,146.4,207.5,,2004
200352,ROYAL ORCHID HOTELS LTD.,20060331,12,IGAAP,625.1,604.2,0.2,0.2,,624.9,212.0,331.9,283.7,279.5,211.8,33.8934,2048.9,,,81.8,27233965.0,,272.3,,,,272.3397,1497.4,269.4,2048.9,,,1286.5,5.0198,5.0385,0.1799,194.7,242.0,1280.3,2005
200372,SUNLAKE RESORTS & HOTELS LTD.,20040331,12,IGAAP,,,,,,,-0.8,-0.8,-0.8,-0.1,-0.1,ER,74.5,,,1.2,8020600.0,,80.2,,,,80.206,53.1,12.9,74.5,,,72.1,0.0,0.0,0.2429,,,,2003
200372,SUNLAKE RESORTS & HOTELS LTD.,20050331,12,IGAAP,,,,,,,-0.7,-0.6,-0.7,0.0,-0.1,ER,70.6,,,0.8,8020600.0,,80.2,,,,80.206,53.0,12.2,70.6,,,68.75,0.0,0.0,0.2302,,,,2004
200372,SUNLAKE RESORTS & HOTELS LTD.,20060331,12,IGAAP,,,,,,,-0.6,-0.1,-0.6,-0.6,-0.6,ER,68.5,,,0.5,8020600.0,,80.2,,,,80.206,52.8,12.2,68.5,,,66.3,0.0,0.0,0.2311,,,,2005
200435,ROYALE MANOR HOTELS & INDS. LTD.,20040331,12,IGAAP,112.6,109.5,0.2,0.2,,112.4,-8.7,33.9,-8.7,18.9,-8.3,-7.3843,288.5,,,23.9,16132200.0,,161.3,,,,161.322,18.2,246.4,288.5,,,287.65,1.477,1.6151,13.5385,23.8,23.8,,2003
200435,ROYALE MANOR HOTELS & INDS. LTD.,20050331,12,IGAAP,156.8,131.1,24.1,24.1,,132.7,28.7,60.9,28.7,25.3,7.1,5.3504,308.5,,,28.9,16132200.0,,161.3,,,,161.322,74.7,232.5,308.5,,,298.3,2.0311,2.1315,5.0,69.5,71.0,28.2,2004
200435,ROYALE MANOR HOTELS & INDS. LTD.,20060331,12,IGAAP,160.8,146.0,10.9,8.6,2.3,149.9,30.8,64.3,32.5,40.4,23.4,15.6104,318.1,,,25.8,16132200.0,542.0,161.3,54.2,,,161.322,131.5,211.2,318.1,,,312.75,2.1394,2.3136,2.7322,49.9,55.5,26.0,2005
200446,FLORA CORPORATION LTD.,20040331,12,IGAAP,,,,,,,-0.1,-0.1,-0.1,-0.1,-0.1,ER,24.5,,,1.1,8733875.0,,87.3,,,,87.3388,15.0,,24.5,,,,0.0,0.0,0.0,,,,2003
200446,FLORA CORPORATION LTD.,20050331,12,IGAAP,,,,,,,-0.1,-0.1,-0.1,-0.1,-0.1,ER,24.5,,,1.2,8733875.0,,87.3,,,,87.3388,14.9,,24.5,,,16.1,0.0,0.0,0.0,0.0,0.0,,2004
200446,FLORA CORPORATION LTD.,20060331,12,IGAAP,,,,,,,-0.1,-0.1,-0.1,-0.1,-0.1,ER,24.5,,,1.2,8733875.0,,87.3,,,,87.3388,14.9,,24.5,,,16.1,0.0,0.0,0.0,,,,2005
200472,OCTAVIUS PLANTATIONS LTD.,20040331,12,IGAAP,3.0,3.0,,,,3.0,-1.3,0.5,-1.3,0.2,-1.3,-43.3333,17.7,,,0.6,987070.0,,9.9,,,,9.8707,2.7,13.9,17.7,,,18.65,0.0619,0.0619,5.1481,-0.4,-0.4,,2003
200472,OCTAVIUS PLANTATIONS LTD.,20060331,12,IGAAP,6.0,6.0,,,,6.0,2.4,3.8,2.4,3.6,2.4,40.0000,13.3,,,0.5,987070.0,,9.9,,,,9.8707,5.3,7.0,13.3,,,,0.1591,0.1591,1.3208,0.8,0.8,,2005
200479,RUBBER PRODUCTS LTD.,20040331,12,IGAAP,255.4,254.0,0.1,,0.1,255.3,1.4,22.3,2.3,10.5,1.5,0.5875,199.7,,,27.0,4088400.0,,41.0,,,,40.884,99.1,49.5,199.7,,,195.0,1.274,1.8646,0.4995,17.8,16.5,,2003
200479,RUBBER PRODUCTS LTD.,20050331,12,IGAAP,226.4,225.5,0.7,,0.7,225.7,0.5,17.5,0.9,8.5,-0.2,-0.0886,216.2,,,32.2,4088400.0,,40.9,,,,40.884,102.7,59.0,216.2,,,198.45,0.8654,1.6135,0.5745,16.8,16.1,,2004
200479,RUBBER PRODUCTS LTD.,20060331,12,IGAAP,205.3,204.8,0.2,,0.2,205.1,-20.0,-3.7,-20.5,-12.3,-20.2,-9.8489,215.6,,,38.9,4088400.0,,40.9,,,,40.884,85.0,73.2,215.6,,,208.95,0.7823,1.2818,0.8612,-2.5,-2.9,,2005
